province_ifls1,district_ifls1,province,district,district_name,latitude,longitude
11,5,,,"aceh barat",4.5,96
11,6,,,"aceh besar",5.5,95.42
11,1,11,3,"aceh selatan",3,97.25
,,11,2,"aceh singkil",2.28,97.82
11,4,11,6,"aceh tengah",3.75,97.25
11,2,11,4,"aceh tenggara",3.5,97.8
11,3,11,5,"aceh timur",4.67,97.75
11,8,,,"aceh utara",5,96.75
,,92,1,"adm. mimika",-4.7,136.47
,,92,3,"adm. paniai",-3.5,136.5
13,6,13,7,"agam",-.25,100.08
54,9,54,,"aileu",-8.72,125.57
54,2,54,,"ainaro",-8.92,125.58
53,7,53,,"alor",-8.25,124.25
54,13,54,,"ambeno",-9.33,124.25
81,71,81,71,"ambon",-3.72,128.1
12,6,12,8,"asahan",3,99.5
,,14,72,"b a t a m",1.17,104
51,3,51,3,"badung",-8.5,115.33
64,71,64,71,"balikpapan",-1.28,116.83
11,71,,,"banda aceh",5.57,95.33
18,71,18,71,"bandar lampung",-5.45,105.27
32,6,32,6,"bandung",-7,107.5
32,73,32,73,"bandung",-7,107.5
,,72,2,"banggai",-1,123
16,7,16,7,"bangka",-2.25,106
35,26,35,26,"bangkalan",-7,112.92
51,6,51,6,"bangli",-8.25,115.5
63,3,63,3,"banjar",-3.42,114.85
,,63,30,"banjar baru",-3.42,114.83
63,71,63,71,"banjarmasin",-3.33,114.6
33,4,33,4,"banjarnegara",-7.5,109.83
73,3,73,3,"bantaeng",-5.5,119.83
34,2,34,2,"bantul",-7.92,110.5
33,2,33,2,"banyumas",-7.33,109.25
35,10,35,10,"banyuwangi",-8.5,114.25
63,4,63,4,"barito kuala",-3,114.5
62,4,62,4,"barito selatan",-1.7,114.8
62,5,62,5,"barito utara",-.95,114.88
73,10,73,10,"barru",-4.5,119.67
14,72,14,72,"batam",1.08,104.05
33,25,33,25,"batang",-7,109.92
15,4,15,4,"batang hari",-1.6,103.62
54,6,54,,"baukau",-8.58,126.5
32,18,32,18,"bekasi",-6.25,107
16,8,16,8,"belitung",-2.83,108
53,6,53,,"belu",-9.25,124.67
14,5,14,8,"bengkalis",1.5,101.5
17,71,17,71,"bengkulu",-3.8,102.27
,,17,,"bengkulu",-3.8,102.27
17,2,17,2,"bengkulu lebong",-3.3,102.5
17,1,17,1,"bengkulu selatan",-4.25,103
17,3,17,3,"bengkulu utara",-3,101.75
64,3,64,5,"berau",1.75,117.5
82,9,92,5,"biak numfor",-1,136
52,6,52,6,"bima",-8.5,118.75
12,76,12,76,"binjai",3.8,108.23
,,11,10,"bireuen",5.2,96.68
71,73,71,,"bitung",1.45,125.18
35,5,35,5,"blitar",-8.08,112.42
35,72,35,72,"blitar",-8.08,112.42
33,16,33,16,"blora",-7,111.5
54,12,54,,"bobonaro",-8.92,125.25
32,3,32,3,"bogor",-6.67,106.75
32,71,32,71,"bogor",-6.67,106.75
35,22,35,22,"bojonegoro",-7.25,112
71,2,71,,"bolaang mengondow",.5,124
35,11,35,11,"bondowoso",-8,114
73,11,73,11,"bone",-4.75,120.17
33,9,33,9,"boyolali",-7.83,110.25
33,29,33,29,"brebes",-7,109
13,75,13,75,"bukittinggi",-.32,100.37
51,8,51,8,"buleleng",-8.17,115
64,4,64,,"bulongan",0,114.5
73,2,73,2,"bulukumba",-5.42,120.25
,,15,9,"bungo",-6.78,110.62
15,2,15,,"bungo tebo",-1.47,102.12
72,4,72,,"buol toli-toli",.75,120.75
74,1,74,1,"buton",-5.25,122.5
32,9,32,9,"ciamis",-7.5,108.67
32,5,32,5,"cianjur",-7.17,107.08
33,1,33,1,"cilacap",-7.58,109.17
,,32,78,"cilegon",-6.21,106.3
32,11,32,11,"cirebon",-6.75,108.67
32,74,32,74,"cirebon",-6.75,108.67
54,1,54,,"cova lima",-9.33,125.33
,,14,73,"d u m a i",1.68,101.45
12,8,12,10,"dairi",2.58,98.42
12,10,12,12,"deli serdang",3.5,98.83
33,21,33,21,"demak",-6.83,110.75
51,71,51,71,"denpasar",-8.65,115.22
,,32,77,"depok",-6.4,106.82
54,8,54,,"dilli",-8.67,125.67
52,5,52,5,"dompu",-8.5,118.83
72,3,72,5,"donggala",-1,120
53,10,53,11,"ende",-8.5,121.5
73,16,73,16,"enrekang",-3.5,120
54,11,54,,"ermera",-8.75,125.42
82,5,,,"fak-fak",-4,134.5
53,8,53,9,"flores timur",-8.25,123
32,7,32,7,"garut",-7.5,107.83
51,4,51,4,"gianyar",-8.42,115.42
71,1,71,2,"gorontalo",.55,123.05
71,71,71,2,"gorontalo",.55,123.05
73,6,73,6,"gowa",-5.17,119.67
35,25,35,25,"gresik",-7.15,112.63
33,15,33,15,"grobogan",-7.08,110.08
34,3,34,3,"gunung kidul",-8,110.83
81,4,81,,"halmahera tengah",0,128
63,6,63,6,"hulu sei selatan",-2.78,115.27
63,7,63,7,"hulu sei tengah",-2.58,115.38
63,8,63,8,"hulu sei utara",-2.43,115.25
14,2,14,3,"indragiri hilir",-.5,103.5
14,1,14,2,"indragiri hulu",-.5,102
32,14,32,14,"indramayu",-6.5,108.17
31,74,31,74,"jakarta barat",-6.17,106.8
31,73,31,73,"jakarta pusat",-6.17,106.83
31,71,31,71,"jakarta selatan",-6.23,106.82
31,72,31,72,"jakarta timur",-6.23,106.88
31,75,31,75,"jakarta utara",-6.13,106.83
15,71,15,71,"jambi",-1.6,103.62
82,3,93,4,"jayapura",-3,139.5
82,2,93,2,"jayawijaya",-4.5,139.5
35,9,35,9,"jember",-8.25,113.75
51,1,51,1,"jembrana",-8.33,114.83
73,4,73,4,"jeneponto",-5.5,119.58
33,20,33,20,"jepara",-6.5,110.83
35,17,35,17,"jombang",-7.5,112.42
14,4,14,6,"kampar",.33,101.5
62,3,62,3,"kapuas",-3.02,114.35
61,6,61,,"kapuas hulu",1,113
51,7,51,7,"karang asem",-8.33,115.67
33,13,33,13,"karanganyar",-7.58,110.33
32,17,32,17,"karawang",-6.33,107.33
,,14,11,"karimun",1.05,103.37
12,9,12,11,"karo",3,98.25
33,5,33,5,"kebumen",-7.67,109.83
35,6,35,6,"kediri",-7.83,112.25
35,71,35,71,"kediri",-7.83,112.25
33,24,33,24,"kendal",-7,110.17
74,3,74,3,"kendari",-3.75,122.25
,,13,1,"kepulauan mentawai",-2,99.5
14,3,14,10,"kepulauan riau",.5,104.5
15,1,15,1,"kerinci",-2.08,101.38
61,4,61,6,"ketapang",-1.5,110.5
33,10,33,10,"klaten",-7.67,110.92
51,5,51,5,"klungkung",-8.5,115.58
74,4,74,4,"kolaka",-3.75,121.5
63,2,63,2,"kota baru",-3,116
12,73,12,73,"kota pematang siantar",2.95,99.05
62,1,62,1,"kotawaringin barat",-2.5,111.5
62,2,62,2,"kotawaringin timur",-2.53,112.95
,,14,1,"kuantan sengingi",-.5,101.5
33,19,33,19,"kudus",-6.75,111.08
34,1,34,1,"kulon progo",-7.83,110.25
32,10,32,10,"kuningan",-7,108.67
53,3,53,3,"kupang",-10,123.5
64,2,64,3,"kutai",0,116.5
,,64,2,"kutai barat",-.03,115.63
,,64,4,"kutai timur",1,116.8
12,5,12,7,"labuhan batu",2.42,99.75
16,4,16,4,"lahat",-3.75,103
35,24,35,24,"lamongan",-7,112.42
18,4,18,1,"lampung barat",-5.25,104.25
18,1,18,3,"lampung selatan",-5.33,105.25
18,2,18,5,"lampung tengah",-5,105.33
,,18,4,"lampung timur",-4.78,105.75
18,3,18,6,"lampung utara",-4.5,104.75
12,11,12,13,"langkat",3.67,98.17
54,5,54,,"lautem",-8.5,126.92
32,2,32,2,"lebak",-6.67,106.25
54,10,54,,"likuisa",,
13,7,13,8,"lima puluh koto",.08,100.42
52,1,52,1,"lombok barat",-8.5,116.17
52,2,52,2,"lombok tengah",-8.75,116.33
52,3,52,3,"lombok timur",-8.5,116.58
35,8,35,8,"lumajang",-8.08,113.08
73,17,73,17,"luwu",-2.5,120.75
,,73,22,"luwu utara",-2.59,120.26
72,1,72,2,"luwuk/banggai",-1,123
35,19,35,19,"madiun",-7.58,111.83
35,77,35,77,"madiun",-7.58,111.83
33,8,33,8,"magelang",-7.5,110.42
33,71,33,71,"magelang",-7.5,110.42
35,20,35,20,"magetan",-7.67,111.58
32,12,32,12,"majalengka",-6.83,108.25
73,20,73,20,"majene",-3.75,118.83
35,7,35,7,"malang",-8.08,112.75
35,73,35,73,"malang",-8.08,112.75
,,64,6,"malinau",3.58,116.63
81,2,81,3,"maluku tengah",-3.5,128.5
81,1,81,2,"maluku tenggara",-7.5,131.5
81,3,82,,"maluku utara",1.5,128
73,21,73,21,"mamuju",-1.75,119.5
71,72,71,,"manado",1.48,124.85
54,7,54,,"manatuto",-8.75,126
,,12,2,"mandailing natal",.55,99.12
53,12,53,,"manggarai",-8.5,120.25
82,7,91,2,"manokwari",-1.5,134
54,3,54,,"manufahi",,
73,8,73,8,"maros",-5,119.75
,,52,71,"mataram",-2.61,120.46
12,75,12,75,"medan",3.58,98.67
,,15,2,"merangin",-1.47,102.12
82,1,93,1,"merauke",-7,139
,,18,72,"metro",-5.11,105.31
71,3,71,4,"minahasa",1,124.75
35,16,35,16,"mojokerto",-7.5,112.58
35,76,35,76,"mojokerto",-7.5,112.58
,,72,3,"morowali",-1.87,121.5
16,3,16,3,"muara enim",-3.75,103.75
,,15,5,"muaro jambi",-1.47,103.67
74,2,74,2,"muna",-5,122.5
16,6,16,6,"musi banyu asin",-2.5,104
16,5,16,5,"musi rawas",-2.75,102.75
,,92,2,"nabire",-3.37,135.48
53,11,53,12,"ngada",-8.5,121
35,18,35,18,"nganjuk",-7.58,112.17
35,21,35,21,"ngawi",-7.5,111.67
12,1,12,1,"nias",1,97.5
16,2,16,2,"ogan komering ilir",-3.25,105.17
16,1,16,1,"ogan komering ulu",-4.25,104.25
35,1,35,1,"pacitan",-8.08,111.33
13,71,13,71,"padang",-.95,100.35
13,74,13,74,"padang panjang",-.45,100.42
13,5,13,6,"padang pariaman",-.75,100.33
62,71,62,71,"palangka raya",-2.27,113.93
16,71,16,71,"palembang",-2.92,104.75
,,72,71,"palu",-.9,119.86
35,28,35,28,"pamekasan",-7,113.5
32,1,32,1,"pandeglang",-6.67,105.67
73,9,73,9,"pangkajene kepulauan",-4.75,119.5
16,72,16,72,"pangkal pinang",-2.13,106.13
82,4,,,"paniai",-3.5,136.5
73,72,73,72,"pare-pare",-4.02,119.63
13,8,13,9,"pasaman",.33,99.75
64,1,64,1,"pasir",-1.75,116
35,14,35,14,"pasuruan",-7.75,112.83
35,75,35,75,"pasuruan",-7.75,112.83
33,18,33,18,"pati",-6.83,111.33
13,76,13,76,"payakumbuh",-.23,100.63
33,26,33,26,"pekalongan",-7,109.67
33,75,33,75,"pekalongan",-7,109.67
14,71,14,71,"pekan baru",.53,101.45
,,14,4,"pelalawan",.45,102.08
33,27,33,27,"pemalang",-7,109.42
,,12,73,"pematang siantar",2.95,99.05
13,1,13,2,"pesisir selatan",-1.42,100.92
11,7,11,9,"pidie",5.17,95.83
73,15,73,15,"pinrang",-3.67,119.5
73,19,73,19,"polewali mamasa",-3.25,119.25
35,2,35,2,"ponorogo",-8,111.67
61,2,61,4,"pontianak",0,109.25
61,71,61,71,"pontianak",0,109.25
72,2,72,4,"poso",-1.5,121.25
35,13,35,13,"probolinggo",-7.83,113.25
35,74,35,74,"probolinggo",-7.83,113.25
33,3,33,3,"purbalingga",-7.33,109.5
32,16,32,16,"purwakarta",-6.58,107.33
33,6,33,6,"purworejo",-7.67,110.08
,,17,2,"rejang lebong",-3.17,102.5
33,17,33,17,"rembang",-6.83,111.67
,,14,9,"rokan hilir",1.72,124.98
,,14,7,"rokan hulu",.9,100.33
11,72,11,72,"sabang",5.89,95.32
33,73,33,73,"salatiga",-7.32,110.5
64,72,64,72,"samarinda",-.5,117.15
61,1,61,1,"sambas",1.5,109.25
35,27,35,27,"sampang",-7,113.25
61,3,61,5,"sanggau",.25,110.25
71,4,71,,"sangihe talaud",3.5,126
15,3,15,,"sarko (sarolangun bangko)",-2.3,102.7
,,15,3,"sarolangun",-2.3,102.7
13,73,13,73,"sawah lunto",-.67,100.78
13,3,13,4,"sawahlunto/sijunjung",-.67,101.17
73,1,73,1,"selayar",-6,120.5
33,22,33,22,"semarang",-7.25,110.67
33,74,33,74,"semarang",-7.25,110.67
32,20,32,20,"serang",-6.08,106.08
,,14,5,"siak",.83,101.48
12,71,12,71,"sibolga",1.75,98.8
73,14,73,14,"sidenreng rappang",-4,119.83
35,15,35,15,"sidoarjo",-7.5,112.75
53,9,53,10,"sikka",-8.5,122.17
12,7,12,9,"simalungun",2.83,99
73,7,73,7,"sinjai",-5.17,120.17
61,5,61,7,"sintang",0,112
35,12,35,12,"situbondo",-7.7,114
34,4,34,4,"sleman",-7.67,110.58
13,2,13,3,"solok",-1.08,100.75
73,12,73,12,"soppeng",-4.5,119.83
82,6,,,"sorong",-1,132
33,14,33,14,"sragen",-7.42,111.17
32,15,32,15,"subang",-6.42,107.5
32,4,32,4,"sukabumi",-7,106.75
32,72,32,72,"sukabumi",-7,106.75
33,11,33,11,"sukoharjo",-7.58,111.08
53,1,53,,"sumba barat",-9.5,119.25
53,2,53,2,"sumba timur",-9.75,120.25
52,4,52,4,"sumbawa",-8.75,117.5
32,13,32,13,"sumedang",-6.83,107.83
35,29,35,29,"sumenep",-7,114
35,78,35,78,"surabaya",-7,112.58
33,72,33,72,"surakarta",-7.58,110.83
63,9,63,9,"tabalong",-2.18,115.38
51,2,51,2,"tabanan",-8.5,115.17
73,5,73,5,"takalar",-5.5,119.42
73,18,73,18,"tana toraja",-2.75,119.83
13,4,13,5,"tanah datar",-.5,100.42
63,1,63,1,"tanah laut",-3.8,114.75
32,19,32,19,"tangerang",-6.25,106.58
32,75,32,75,"tangerang",-6.25,106.58
,,18,2,"tanggamus",-5.42,104.7
12,72,12,72,"tanjung balai",2.97,99.8
15,5,,,"tanjung jabung",-.82,103.47
,,15,7,"tanjung jabung barat",-6.31,106.85
,,15,6,"tanjung jabung timur",-6.3,106.86
12,2,12,3,"tapanuli selatan",1.5,99.33
12,3,12,4,"tapanuli tengah",1.83,98.75
12,4,12,5,"tapanuli utara",2.25,98.75
63,5,63,5,"tapin",-2.93,115.15
,,64,73,"tarakan",3.3,117.63
32,8,32,8,"tasikmalaya",-7.5,108.33
12,74,12,74,"tebing tinggi",3.33,99.15
,,15,8,"tebo",-7.99,112.6
33,28,33,28,"tegal",-7,109.25
33,76,33,76,"tegal",-7,109.25
33,23,33,23,"temanggung",-7.25,110.25
53,4,53,,"timor tengah selatan",-9.83,124.17
53,5,53,,"timor tengah utara",-9.33,124.33
,,12,6,"toba samosir",2.5,99.3
35,3,35,3,"trenggalek",-8.08,111.83
35,23,35,23,"tuban",-6.83,112
,,18,8,"tulangbawang",-4.38,105.9
35,4,35,4,"tulungagung",-8.08,112.08
73,71,73,71,"ujung pandang",-5.12,119.4
54,4,54,,"vikeke",-8.83,126.5
73,13,73,13,"wajo",-4.25,120.17
,,18,7,"way kanan",-4.83,104.4
33,12,33,12,"wonogiri",-7.92,111.17
33,7,33,7,"wonosobo",-7.42,110
82,8,92,4,"yapen waropen",-2,136.5
34,71,34,71,"yogyakarta",-7.8,110.37
